Year,Country of Asylum Code,Country of Asylum Name,Procedure Type,Application Type Code,Application Data Type,Number of Applications
2015,DOM,Dominican Republic,G,N,P,5
2015,EST,Estonia,G,N,P,90
2015,FIN,Finland,G,N,P,67
2015,FIN,Finland,G,R,P,7
2015,FRA,France,G,A,P,659
2015,FRA,France,G,N,P,1623
2015,FRA,France,G,A,P,24
2015,FRA,France,G,R,P,28
2015,GBR,United Kingdom of Great Britain and Northern Ireland,G,A,C,58
2015,GBR,United Kingdom of Great Britain and Northern Ireland,G,N,P,252
2015,GBR,United Kingdom of Great Britain and Northern Ireland,G,R,P,5
2015,GEO,Georgia,G,N,P,404
2015,GEO,Georgia,G,J,P,5
2015,DEU,Germany,G,N,P,4569
2015,DEU,Germany,G,R,P,89
2015,GRC,Greece,G,A,P,120
2015,GRC,Greece,G,N,P,220
2015,GRC,Greece,G,R,P,7
2015,HRV,Croatia,G,N,P,9
2015,HRV,Croatia,G,J,P,6
2015,HUN,Hungary,G,N,P,27
2015,ISL,Iceland,G,N,P,8
2015,IND,India,U,N,P,11
2015,IRL,Ireland,G,A,P,33
2015,IRL,Ireland,G,N,P,47
2015,IRL,Ireland,G,A,P,8
2015,IRL,Ireland,G,N,P,5
2015,ISR,Israel,G,N,P,703
2015,ITA,Italy,G,N,P,4681
2015,JOR,Jordan,U,N,P,22
2015,JPN,Japan,G,N,P,20
2015,KAZ,Kazakhstan,G,A,P,9
2015,KAZ,Kazakhstan,G,N,P,16
2015,KGZ,Kyrgyzstan,G,N,P,19
2015,KOR,Republic of Korea,G,N,P,18
2015,KWT,Kuwait,U,N,P,5
2015,LIE,Liechtenstein,G,N,P,17
2015,LKA,Sri Lanka,U,N,P,5
2015,LTU,Lithuania,G,N,P,65
2015,LUX,Luxembourg,G,A,P,5
2015,LUX,Luxembourg,G,N,P,29
2015,LVA,Latvia,G,N,P,47
2015,MRT,Mauritania,U,N,P,5
2015,MDA,Republic of Moldova,G,N,P,123
2015,MDA,Republic of Moldova,G,J,P,22
2015,MEX,Mexico,G,N,P,7
2015,MNE,Montenegro,G,N,P,13
2015,MLT,Malta,G,N,P,71
2015,NLD,Netherlands,G,N,P,716
2015,NLD,Netherlands,G,R,P,39
2015,NOR,Norway,G,A,P,70
2015,NOR,Norway,G,N,P,90
2015,PER,Peru,G,N,P,7
2015,POL,Poland,G,N,P,1591
2015,POL,Poland,G,R,P,704
2015,PRT,Portugal,G,N,P,366
2015,ROU,Romania,G,N,P,37
2015,ROU,Romania,G,R,P,5
2015,ZAF,South Africa,G,N,P,7
2015,RUS,Russian Federation,G,N,P,293
2015,RUS,Russian Federation,G,N,P,148849
2015,ESP,Spain,G,N,P,3420
2015,SRB,Serbia,G,N,P,11
2015,SVK,Slovakia,G,N,P,14
2015,SVK,Slovakia,G,R,P,11
2015,SVN,Slovenia,G,N,P,14
2015,SWE,Sweden,G,A,P,478
2015,SWE,Sweden,G,N,P,1320
2015,SWE,Sweden,G,R,P,84
2015,CHE,Switzerland,G,N,P,236
2015,CHE,Switzerland,G,R,P,7
2015,USA,United States of America,G,N,P,90
2015,USA,United States of America,G,N,C,2111
2016,ARG,Argentina,G,N,P,67
2016,ARM,Armenia,G,N,P,8
2016,AUS,Australia,G,A,P,19
2016,AUS,Australia,G,N,P,30
2016,AUT,Austria,G,N,P,339
2016,BEL,Belgium,G,N,P,126
2016,BEL,Belgium,G,A,C,77
2016,BEL,Belgium,G,R,P,60
2016,BLR,Belarus,G,N,P,631
2016,BLR,Belarus,G,A,P,5
2016,BRA,Brazil,G,N,P,9
2016,BGR,Bulgaria,G,N,P,18
2016,BGR,Bulgaria,G,R,P,6
2016,CAN,Canada,G,N,P,275
2016,CYP,Cyprus,G,N,P,25
2016,CZE,Czechia,G,N,P,357
2016,CZE,Czechia,G,R,P,150
2016,DNK,Denmark,G,A,P,51
2016,DNK,Denmark,G,N,P,96
2016,EST,Estonia,G,N,P,7
2016,FIN,Finland,G,N,P,56
2016,FIN,Finland,G,R,P,9
2016,FRA,France,G,A,P,634
2016,FRA,France,G,N,P,534
2016,FRA,France,G,A,P,79
2016,FRA,France,G,R,P,124
2016,GBR,United Kingdom of Great Britain and Northern Ireland,G,A,C,49
2016,GBR,United Kingdom of Great Britain and Northern Ireland,G,N,P,127
2016,GBR,United Kingdom of Great Britain and Northern Ireland,G,R,P,9
2016,GEO,Georgia,G,N,P,54
2016,DEU,Germany,G,N,P,2389
2016,DEU,Germany,G,R,P,104
2016,GRC,Greece,G,A,P,68
2016,GRC,Greece,G,N,P,114
2016,GRC,Greece,G,R,P,8
2016,HRV,Croatia,G,N,P,5
2016,HRV,Croatia,G,J,P,7
2016,HUN,Hungary,G,N,P,20
2016,HUN,Hungary,G,R,P,5
2016,ISL,Iceland,G,N,P,11
2016,IND,India,U,A,P,5
2016,IND,India,U,N,P,6
2016,IRL,Ireland,G,A,P,28
2016,IRL,Ireland,G,N,P,20
2016,IRL,Ireland,G,N,P,8
2016,ISR,Israel,G,N,P,6880
2016,ITA,Italy,G,N,P,2571
2016,JOR,Jordan,U,N,P,5
2016,KGZ,Kyrgyzstan,G,N,P,5
2016,KOR,Republic of Korea,G,N,P,5
2016,LBN,Lebanon,U,N,P,5
2016,LIE,Liechtenstein,G,N,P,12
2016,LKA,Sri Lanka,U,N,P,5
2016,LTU,Lithuania,G,N,P,28
2016,LUX,Luxembourg,G,A,P,5
2016,LUX,Luxembourg,G,N,P,32
2016,LVA,Latvia,G,N,P,6
2016,MDA,Republic of Moldova,G,N,P,41
2016,MDA,Republic of Moldova,G,J,P,6
2016,MNE,Montenegro,G,N,P,5
2016,MLT,Malta,G,N,P,85
2016,NLD,Netherlands,G,N,P,323
2016,NLD,Netherlands,G,R,P,29
2016,NOR,Norway,G,A,P,33
2016,NOR,Norway,G,N,P,23
2016,PAN,Panama,G,N,P,5
2016,PER,Peru,G,N,P,7
2016,POL,Poland,G,A,P,605
2016,POL,Poland,G,N,P,589
2016,PRT,Portugal,G,N,P,141
2016,ROU,Romania,G,N,P,10
2016,RUS,Russian Federation,G,N,P,271
2016,RUS,Russian Federation,G,N,P,23263
2016,ESP,Spain,G,N,P,2764
2016,SVK,Slovakia,G,N,P,15
2016,SVK,Slovakia,G,R,P,10
2016,SWE,Sweden,G,A,P,1179
2016,SWE,Sweden,G,N,P,544
2016,SWE,Sweden,G,R,P,58
2016,CHE,Switzerland,G,N,P,85
2016,CHE,Switzerland,G,R,P,11
2016,URY,Uruguay,G,N,P,5
2016,USA,United States of America,G,N,P,123
2016,USA,United States of America,G,N,C,2227
2017,ARG,Argentina,G,A,P,6
2017,ARG,Argentina,G,N,P,22
2017,ARM,Armenia,G,N,P,10
2017,AUS,Australia,G,A,P,5
2017,AUS,Australia,G,N,P,36
2017,AUT,Austria,G,N,P,437
2017,BEL,Belgium,G,R,P,45
2017,BEL,Belgium,G,N,P,110
2017,BLR,Belarus,G,N,P,626
2017,BLR,Belarus,G,A,P,7
2017,BRA,Brazil,G,N,P,12
2017,BGR,Bulgaria,G,N,P,14
2017,CAN,Canada,G,A,P,42
2017,CAN,Canada,G,N,P,225
2017,CYP,Cyprus,G,A,P,65
2017,CYP,Cyprus,G,N,P,33
2017,CYP,Cyprus,G,R,P,5
2017,CZE,Czechia,G,N,P,297
2017,CZE,Czechia,G,R,P,138
2017,DNK,Denmark,G,A,P,29
2017,DNK,Denmark,G,N,P,41
2017,EST,Estonia,G,N,P,18
2017,FIN,Finland,G,N,C,35
2017,FIN,Finland,G,R,C,10
2017,FRA,France,G,A,P,339
2017,FRA,France,G,N,P,529
2017,FRA,France,G,A,P,130
2017,FRA,France,G,R,P,157
2017,GBR,United Kingdom of Great Britain and Northern Ireland,G,A,C,51
2017,GBR,United Kingdom of Great Britain and Northern Ireland,G,N,P,194
2017,GBR,United Kingdom of Great Britain and Northern Ireland,G,R,P,6
2017,GEO,Georgia,G,N,P,20
2017,DEU,Germany,G,N,P,1088
2017,DEU,Germany,G,R,P,240
2017,GRC,Greece,G,A,P,60
2017,GRC,Greece,G,N,P,81
2017,GRC,Greece,G,R,P,5
2017,HUN,Hungary,G,N,P,7
2017,ISL,Iceland,G,A,P,7
2017,ISL,Iceland,G,N,P,9
2017,IND,India,U,A,P,5
2017,IND,India,U,N,P,5
2017,IRL,Ireland,G,A,P,14
2017,IRL,Ireland,G,N,P,17
2017,ISR,Israel,G,N,P,7711
2017,ITA,Italy,G,N,P,2656
2017,KGZ,Kyrgyzstan,G,N,P,9
2017,KOR,Republic of Korea,G,N,P,20
2017,LIE,Liechtenstein,G,N,P,8
2017,LTU,Lithuania,G,N,P,33
2017,LUX,Luxembourg,G,N,P,35
2017,LVA,Latvia,G,N,P,6
2017,MDA,Republic of Moldova,G,N,P,9
2017,MDA,Republic of Moldova,G,J,P,17
2017,MEX,Mexico,G,N,P,5
2017,MNE,Montenegro,G,N,P,5
2017,MLT,Malta,G,A,P,31
2017,MLT,Malta,G,N,P,35
2017,NLD,Netherlands,G,N,P,139
2017,NLD,Netherlands,G,R,P,39
2017,NOR,Norway,G,A,P,25
2017,NOR,Norway,G,N,P,31
2017,NOR,Norway,G,R,P,5
2017,NZL,New Zealand,G,N,P,5
2017,POL,Poland,G,A,P,513
2017,POL,Poland,G,N,P,259
2017,PRT,Portugal,G,N,P,125
2017,ROU,Romania,G,N,P,11
2017,RUS,Russian Federation,G,N,P,130
2017,RUS,Russian Federation,G,N,P,11914
2017,ESP,Spain,G,N,P,2312
2017,SVK,Slovakia,G,N,P,9
2017,SWE,Sweden,G,A,P,513
2017,SWE,Sweden,G,N,P,461
2017,SWE,Sweden,G,R,P,37
2017,CHE,Switzerland,G,N,P,64
2017,CHE,Switzerland,G,R,P,12
2017,SYR,Syrian Arab Republic,U,A,P,5
2017,USA,United States of America,G,N,P,227
2017,USA,United States of America,G,N,C,1757
2018,ARG,Argentina,G,N,P,19
2018,ARM,Armenia,G,N,P,11
2018,AUS,Australia,G,N,P,7
2018,AUT,Austria,G,N,P,261
2018,BEL,Belgium,G,N,P,90
2018,BEL,Belgium,G,R,P,40
2018,BLR,Belarus,G,N,P,761
2018,BLR,Belarus,G,A,P,5
2018,BRA,Brazil,G,N,P,7
2018,BGR,Bulgaria,G,N,P,9
2018,CAN,Canada,G,A,P,28
2018,CAN,Canada,G,N,P,178
2018,CYP,Cyprus,G,A,P,5
2018,CYP,Cyprus,G,N,P,27
2018,CYP,Cyprus,G,R,P,8
2018,CZE,Czechia,G,N,P,279
2018,CZE,Czechia,G,R,P,139
2018,DNK,Denmark,G,A,P,19
2018,DNK,Denmark,G,N,P,47
2018,EST,Estonia,G,N,P,16
2018,FIN,Finland,G,N,P,39
2018,FIN,Finland,G,R,P,6
2018,FRA,France,G,A,P,281
2018,FRA,France,G,N,P,738
2018,FRA,France,G,A,P,66
2018,FRA,France,G,R,P,76
2018,GBR,United Kingdom of Great Britain and Northern Ireland,G,A,C,68
2018,GBR,United Kingdom of Great Britain and Northern Ireland,G,N,P,279
2018,GBR,United Kingdom of Great Britain and Northern Ireland,G,R,P,7
2018,GEO,Georgia,G,N,P,17
2018,DEU,Germany,G,J,P,1315
2018,DEU,Germany,G,N,P,1061
2018,DEU,Germany,G,R,P,350
2018,GRC,Greece,G,A,P,39
2018,GRC,Greece,G,N,P,87
2018,GRC,Greece,G,R,P,8
2018,HRV,Croatia,G,N,P,5
2018,ISL,Iceland,G,A,P,15
2018,ISL,Iceland,G,N,P,32
2018,IND,India,U,N,P,6
2018,IRL,Ireland,G,A,P,29
2018,IRL,Ireland,G,N,P,6
2018,ISR,Israel,G,N,P,1765
2018,ITA,Italy,G,N,P,2483
2018,KGZ,Kyrgyzstan,G,N,P,7
2018,KOR,Republic of Korea,G,N,P,60
2018,LIE,Liechtenstein,G,N,P,10
2018,LTU,Lithuania,G,N,P,15
2018,LUX,Luxembourg,G,N,P,20
2018,LVA,Latvia,G,N,P,5
2018,MDA,Republic of Moldova,G,N,P,11
2018,MDA,Republic of Moldova,G,J,P,5
2018,MEX,Mexico,G,N,P,5
2018,MLT,Malta,G,A,P,22
2018,MLT,Malta,G,N,P,34
2018,NLD,Netherlands,G,N,P,302
2018,NLD,Netherlands,G,R,P,14
2018,NOR,Norway,G,A,P,30
2018,NOR,Norway,G,N,P,37
2018,NOR,Norway,G,R,P,5
2018,NZL,New Zealand,G,N,P,5
2018,PER,Peru,G,N,P,5
2018,POL,Poland,G,N,P,361
2018,POL,Poland,G,N,P,225
2018,PRT,Portugal,G,N,P,120
2018,ROU,Romania,G,N,P,12
2018,RUS,Russian Federation,G,N,P,55
2018,RUS,Russian Federation,G,N,P,5822
2018,ESP,Spain,G,N,P,2063
2018,SVK,Slovakia,G,N,P,6
2018,SVK,Slovakia,G,R,P,5
2018,SWE,Sweden,G,N,P,503
2018,SWE,Sweden,G,A,P,386
2018,SWE,Sweden,G,R,P,39
2018,CHE,Switzerland,G,N,P,49
2018,CHE,Switzerland,G,R,P,12
2018,USA,United States of America,G,A,P,668
2018,USA,United States of America,G,N,P,197
2018,USA,United States of America,G,N,C,727
2019,ARG,Argentina,G,A,P,5
2019,ARG,Argentina,G,N,P,9
2019,AUS,Australia,G,N,P,48
2019,AUT,Austria,G,N,P,221
2019,BEL,Belgium,G,N,P,59
2019,BEL,Belgium,G,R,P,17
2019,BLR,Belarus,G,N,P,567
2019,BRA,Brazil,G,N,P,17
2019,BGR,Bulgaria,G,NR,P,6
2019,CAN,Canada,G,A,P,36
2019,CAN,Canada,G,N,P,106
2019,CYP,Cyprus,G,N,P,24
2019,CYP,Cyprus,G,R,P,8
2019,CZE,Czechia,G,N,P,215
2019,CZE,Czechia,G,R,P,96
2019,DNK,Denmark,G,A,P,9
2019,DNK,Denmark,G,N,P,34
2019,EST,Estonia,G,N,P,7
2019,FIN,Finland,G,N,C,19
2019,FIN,Finland,G,R,C,5
2019,FRA,France,G,A,P,283
2019,FRA,France,G,N,P,1064
2019,FRA,France,G,A,P,44
2019,FRA,France,G,R,P,69
2019,GBR,United Kingdom of Great Britain and Northern Ireland,G,A,C,71
2019,GBR,United Kingdom of Great Britain and Northern Ireland,G,N,P,194
2019,GEO,Georgia,G,N,P,6
2019,DEU,Germany,G,N,P,1180
2019,DEU,Germany,G,R,P,308
2019,GRC,Greece,G,N,P,110
2019,GRC,Greece,G,R,P,10
2019,ISL,Iceland,G,A,P,23
2019,ISL,Iceland,G,N,P,10
2019,IRL,Ireland,G,A,P,11
2019,IRL,Ireland,G,N,P,8
2019,ISR,Israel,G,N,P,633
2019,ITA,Italy,G,N,P,1769
2019,KOR,Republic of Korea,G,N,P,29
2019,LIE,Liechtenstein,G,N,P,5
2019,LTU,Lithuania,G,N,P,13
2019,LUX,Luxembourg,G,N,P,25
2019,LVA,Latvia,G,N,P,12
2019,MDA,Republic of Moldova,G,N,P,5
2019,MDA,Republic of Moldova,G,J,P,5
2019,MEX,Mexico,G,N,P,5
2019,MLT,Malta,G,A,P,5
2019,MLT,Malta,G,N,P,34
2019,NLD,Netherlands,G,N,P,132
2019,NLD,Netherlands,G,R,P,28
2019,NOR,Norway,G,A,P,22
2019,NOR,Norway,G,N,P,26
2019,POL,Poland,G,A,P,251
2019,POL,Poland,G,N,P,189
2019,PRT,Portugal,G,N,P,80
2019,ROU,Romania,G,N,P,18
2019,RUS,Russian Federation,G,N,P,45
2019,RUS,Russian Federation,G,N,P,6011
2019,ESP,Spain,G,N,P,2383
2019,SVK,Slovakia,G,N,P,11
2019,SVK,Slovakia,G,R,P,5
2019,SWE,Sweden,G,A,P,555
2019,SWE,Sweden,G,N,P,831
2019,SWE,Sweden,G,R,P,36
2019,CHE,Switzerland,G,N,P,44
2019,CHE,Switzerland,G,R,P,10
2019,URY,Uruguay,G,N,P,5
2019,USA,United States of America,G,A,P,593
2019,USA,United States of America,G,N,P,250
2019,USA,United States of America,G,N,C,469
