Year,Country of Asylum Code,Country of Asylum Name,Population Type,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2002,PER,Peru,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,POL,Poland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2002,ESP,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2002,SVK,Slovakia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2002,SVN,Slovenia,ASY,0,0,0,0,0,7,7,0,0,0,0,0,7,7,14
2002,SWE,Sweden,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617
2002,SWE,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
2002,CHE,Switzerland,ASY,6,0,0,53,0,11,70,5,0,0,82,0,6,93,163
2002,CHE,Switzerland,REF,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14
2002,URY,Uruguay,REF,0,0,0,8,0,0,8,0,0,0,6,0,0,6,14
2002,USA,United States of America,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764
2002,USA,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28967
2003,EGY,Egypt,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ARG,Argentina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2003,ARG,Argentina,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,ARM,Armenia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,AUS,Australia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2003,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
2003,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2003,BEL,Belgium,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2003,BEL,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
2003,BLR,Belarus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,BIH,Bosnia and Herzegovina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,CAN,Canada,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421
2003,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817
2003,COL,Colombia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2003,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565
2003,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2003,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2003,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2003,FRA,France,REF,0,0,0,0,0,273,273,0,0,0,0,0,246,246,519
2003,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426
2003,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2003,DEU,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57309
2003,GRC,Greece,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2003,ISL,Iceland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ISL,Iceland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,IRL,Ireland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
2003,IRL,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
2003,ITA,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2003,LIE,Liechtenstein,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,LTU,Lithuania,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,LTU,Lithuania,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NLD,Netherlands,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2003,NLD,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478
2003,NOR,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2003,NZL,New Zealand,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,NZL,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,PAN,Panama,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,PER,Peru,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,POL,Poland,ASY,0,0,0,5,0,5,10,0,0,0,15,0,0,15,25
2003,ROU,Romania,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,RUS,Russian Federation,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ESP,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2003,SVK,Slovakia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
2003,SWE,Sweden,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437
2003,SWE,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
